state,state_name,date,PRCP,SNOW,SNWD,TMAX,TMIN
TN,Tennessee,2024-04-07,43.38728385208832,0.040983606557377046,0.4092373791621912,180.0689022173755,62.80043620501636
TN,Tennessee,2024-04-14,58.71457178065311,0.007456009543692217,0.05370569280343717,210.63531443111597,91.69143947655398
TN,Tennessee,2024-04-21,22.253200767486483,0.0,0.0,248.7508724100327,126.985
TN,Tennessee,2024-04-28,11.416671159029649,0.0,0.0,223.23796703296705,76.96208791208792
TN,Tennessee,2024-05-05,77.75821212121213,0.0,0.0,265.09065794256634,146.10974191203198
TN,Tennessee,2024-05-12,152.2441212121212,0.0,0.0,255.57651762995275,141.98496910214467
TN,Tennessee,2024-05-19,49.65119919762777,0.0,0.0,238.79094874591055,145.35479825517993
TN,Tennessee,2024-05-26,76.08379822732012,0.0,0.0,281.78015267175573,170.77700836059614
TN,Tennessee,2024-06-02,83.67381392483055,0.0,0.0,262.0888404216648,139.62617230098147
TN,Tennessee,2024-06-09,33.74616822429907,0.0,0.0,283.93992123165054,169.8094343000358
TN,Tennessee,2024-06-16,6.381871983975234,0.0,0.0,294.317803030303,154.41308615049073
TN,Tennessee,2024-06-23,16.84715291106846,0.0,0.0,319.8159992784993,197.88401875901877
TN,Tennessee,2024-06-30,39.264024024024025,0.0,0.0,326.15674300254454,200.61659451659452
TN,Tennessee,2024-07-07,21.51895133053221,0.0,0.0,322.15114503816795,197.84627408215192
TN,Tennessee,2024-07-14,21.00605618870925,0.0,0.0,325.9479853479853,193.3507088331516
TN,Tennessee,2024-07-21,43.511086713166286,0.0,0.0,315.529797979798,201.06415945165946
TN,Tennessee,2024-07-28,65.58267846300633,0.0,0.0,286.76185064935066,205.579329004329
TN,Tennessee,2024-08-04,80.77992706992707,0.0,0.0,313.81727994228,209.52040293040295
TN,Tennessee,2024-08-11,1.2713276447380495,0.0,0.0,310.1480552526354,191.03271537622683
TN,Tennessee,2024-08-18,21.73204144620811,0.0,0.0,309.72987012987016,184.547564521992
TN,Tennessee,2024-08-25,2.3383292045141757,0.0,0.0,293.07323232323233,150.9422663802363
TN,Tennessee,2024-09-01,21.85026602819899,0.0,0.0,343.18013503909026,184.9021499644634
TN,Tennessee,2024-09-08,27.399595687331537,0.0,0.0,286.2390331890332,153.10443722943722
TN,Tennessee,2024-09-15,48.882050606220346,0.0,0.0,275.22962764052994,142.3919799498747
TN,Tennessee,2024-09-22,10.10487074829932,0.0,0.0,295.6551020408163,163.56136770497673
TN,Tennessee,2024-09-29,191.99366931691887,0.0,0.0,255.53540995345503,171.14149659863943
TN,Tennessee,2024-10-06,8.493012037528766,0.0,0.0,264.47956043956043,147.9597802197802
TN,Tennessee,2024-10-13,0.08612078977932637,0.0,0.0,255.1547619047619,87.14494729189386
TN,Tennessee,2024-10-20,1.7040229885057472,0.04226190476190476,0.25249169435215946,190.09372955288987,28.48367866230462
TN,Tennessee,2024-10-27,7.1813042683484145,0.0,0.0,249.92130325814537,75.35345506623702
TN,Tennessee,2024-11-03,27.122182317992372,0.0,0.0,233.95665584415585,109.45701754385965
TN,Tennessee,2024-11-10,48.19610470829983,0.0,0.0,230.6152490003635,139.11581243184298
TN,Tennessee,2024-11-17,65.68093017057569,0.0,0.0,180.23437950937952,64.86875901875901
TN,Tennessee,2024-11-24,19.912343834872352,0.2095632455880903,1.3590828924162257,157.03217893217894,45.324747474747475
TN,Tennessee,2024-12-01,17.598958333333332,0.015115589804386485,0.1956043956043956,119.01381315885132,-2.3353846153846156
TN,Tennessee,2024-12-08,1.8299367634377695,0.5365930289641629,2.040715694561848,66.69913252122554,-59.57004429678849
TN,Tennessee,2024-12-15,76.24297306937756,0.401338971106413,1.2986305633364459,125.20431893687707,13.916537467700259
TN,Tennessee,2024-12-22,69.122226706125,0.032744441060006096,0.1343915343915344,110.9467032967033,27.70305860805861
TN,Tennessee,2024-12-29,73.88841823551127,0.0,0.11337868480725624,133.1903824521935,35.39778911564626
TN,Tennessee,2025-01-05,11.857062547241117,0.1561138014527845,0.6364403917595407,92.72445887445888,-5.753553391053391
TN,Tennessee,2025-01-12,65.17057161385955,13.104403753026633,40.26398138202649,18.371717171717172,-61.37083333333333
TN,Tennessee,2025-01-19,23.72252315464496,0.2985569985569986,7.268358714043993,81.75601503759398,-53.31070533476549
TN,Tennessee,2025-01-26,1.4195707441087317,0.6081758082842681,6.213854079643553,15.749253731343284,-107.89468727789624
TN,Tennessee,2025-02-02,68.47360959651036,0.0593207432226622,2.4051995798319328,130.83288912579957,3.238219616204691
TN,Tennessee,2025-02-09,21.701131406761178,0.0,0.11826697892271663,189.1745670995671,59.73431479462014
TN,Tennessee,2025-02-16,205.68531073446326,0.0661641541038526,0.03007518796992481,100.02925685425686,-2.684704184704185
TN,Tennessee,2025-02-23,8.340228571428572,7.262653489068583,24.562067972350228,23.703607503607504,-79.06583694083695
TN,Tennessee,2025-03-02,0.4113783444412248,0.0,0.27016520894071916,175.762412464986,-5.768032212885154
TN,Tennessee,2025-03-09,33.86977952471312,0.05987947046038332,0.40019569471624267,142.0990299823633,11.129312169312168
TN,Tennessee,2025-03-16,152.47882158491916,0.0,0.3216931216931217,222.25626102292767,58.82608465608465
TN,Tennessee,2025-03-23,8.157106014552824,0.024007936507936502,0.07810894141829394,179.93455934612652,13.456201137171286
TN,Tennessee,2025-03-30,26.57564484126984,0.0,0.0,221.5227513227513,73.13975308641976
TN,Tennessee,2025-04-06,220.77846016911437,0.0,0.0,239.14838308457712,119.14617981520966
